timeDate,close
2017-04-03,8.97
2017-04-04,12.39
2017-04-05,10.7
2017-04-06,9.89
2017-04-07,10.66
2017-04-08,9.21
2017-04-09,9.8
2017-04-10,9.66
2017-04-11,11.6
2017-04-12,11.06
2017-04-13,11.67
2017-04-14,11.67
2017-04-15,11.73
2017-04-16,11.26
2017-04-17,11.06
2017-04-18,10.29
2017-04-19,10.97
2017-04-20,12.0
2017-04-21,14.05
2017-04-22,15.15
2017-04-23,14.87
2017-04-24,15.06
2017-04-25,14.89
2017-04-26,14.66
2017-04-27,14.25
2017-04-28,15.75
2017-04-29,15.63
2017-04-30,15.74
2017-05-01,15.57
2017-05-02,20.53
2017-05-03,22.95
2017-05-04,25.2
2017-05-05,27.46
2017-05-06,29.5
2017-05-07,28.1
2017-05-08,31.77
2017-05-09,31.28
2017-05-10,29.88
2017-05-11,26.76
2017-05-12,28.14
2017-05-13,28.07
2017-05-14,24.5
2017-05-15,22.83
2017-05-16,25.06
2017-05-17,27.88
2017-05-18,27.27
2017-05-19,27.42
2017-05-20,26.02
2017-05-21,24.79
2017-05-22,31.36
2017-05-23,34.8
2017-05-24,28.32
2017-05-25,24.45
2017-05-26,22.83
2017-05-27,23.89
2017-05-28,25.33
2017-05-29,23.89
2017-05-30,25.91
2017-05-31,27.55
2017-06-01,28.27
2017-06-02,27.27
2017-06-03,27.89
2017-06-04,30.78
2017-06-05,30.07
2017-06-06,28.47
2017-06-07,29.9
2017-06-08,29.54
2017-06-09,30.06
2017-06-10,33.63
2017-06-11,28.98
2017-06-12,30.38
2017-06-13,29.19
2017-06-14,29.29
2017-06-15,34.12
2017-06-16,45.8
2017-06-17,43.8
2017-06-18,47.37
2017-06-19,45.68
2017-06-20,44.5
2017-06-21,46.16
2017-06-22,46.0
2017-06-23,42.7
2017-06-24,41.28
2017-06-25,38.53
2017-06-26,40.24
2017-06-27,41.89
2017-06-28,40.13
2017-06-29,39.48
2017-06-30,38.08
2017-07-01,41.26
2017-07-02,45.34
2017-07-03,54.51
2017-07-04,52.92
2017-07-05,51.04
2017-07-06,46.1
2017-07-07,51.22
2017-07-08,48.63
2017-07-09,45.0
2017-07-10,43.98
2017-07-11,47.14
2017-07-12,45.69
2017-07-13,42.46
2017-07-14,38.41
2017-07-15,40.7
2017-07-16,42.17
2017-07-17,43.35
2017-07-18,40.11
2017-07-19,44.35
2017-07-20,45.2
2017-07-21,46.47
2017-07-22,44.67
2017-07-23,44.77
2017-07-24,42.3
2017-07-25,42.03
2017-07-26,41.89
2017-07-27,40.43
2017-07-28,41.07
2017-07-29,40.61
2017-07-30,42.38
2017-07-31,43.16
2017-08-01,41.92
2017-08-02,42.75
2017-08-03,43.31
2017-08-04,46.24
2017-08-05,45.56
2017-08-06,46.11
2017-08-07,49.13
2017-08-08,47.78
2017-08-09,46.97
2017-08-10,47.11
2017-08-11,46.27
2017-08-12,45.49
2017-08-13,45.7
2017-08-14,43.17
2017-08-15,43.97
2017-08-16,43.83
2017-08-17,46.74
2017-08-18,45.19
2017-08-19,45.81
2017-08-20,48.09
2017-08-21,46.4
2017-08-22,53.44
2017-08-23,50.36
2017-08-24,51.09
2017-08-25,51.58
2017-08-26,61.08
2017-08-27,62.36
2017-08-28,63.76
2017-08-29,65.97
2017-08-30,73.03
2017-08-31,87.88
2017-09-01,79.18
2017-09-02,79.04
2017-09-03,68.89
2017-09-04,73.73
2017-09-05,81.44
2017-09-06,80.25
2017-09-07,73.19
2017-09-08,71.09
2017-09-09,67.08
2017-09-10,68.13
2017-09-11,65.89
2017-09-12,61.78
2017-09-13,45.2
2017-09-14,52.0
2017-09-15,52.1
2017-09-16,51.0
2017-09-17,56.16
2017-09-18,52.8
2017-09-19,51.56
2017-09-20,46.46
2017-09-21,47.67
2017-09-22,49.29
2017-09-23,47.5
2017-09-24,52.27
2017-09-25,52.27
2017-09-26,56.9
2017-09-27,54.91
2017-09-28,52.8
2017-09-29,55.41
2017-09-30,54.8
2017-10-01,53.29
2017-10-02,52.15
2017-10-03,51.22
2017-10-04,51.64
2017-10-05,52.08
2017-10-06,52.57
2017-10-07,53.3
2017-10-08,50.08
2017-10-09,50.58
2017-10-10,50.79
2017-10-11,59.72
2017-10-12,59.05
2017-10-13,63.94
2017-10-14,65.57
2017-10-15,64.76
2017-10-16,59.19
2017-10-17,60.55
2017-10-18,59.68
2017-10-19,60.09
2017-10-20,58.09
2017-10-21,56.51
2017-10-22,54.63
2017-10-23,55.56
2017-10-24,56.19
2017-10-25,55.55
2017-10-26,55.02
2017-10-27,54.22
2017-10-28,56.75
2017-10-29,56.22
2017-10-30,55.5
2017-10-31,52.83
2017-11-01,54.19
2017-11-02,55.98
2017-11-03,54.83
2017-11-04,54.6
2017-11-05,54.5
2017-11-06,60.52
2017-11-07,62.38
2017-11-08,64.15
2017-11-09,58.99
2017-11-10,62.14
2017-11-11,58.54
2017-11-12,61.0
2017-11-13,62.13
2017-11-14,63.16
2017-11-15,70.7
2017-11-16,67.36
2017-11-17,69.42
2017-11-18,71.76
2017-11-19,72.38
2017-11-20,69.91
2017-11-21,72.03
2017-11-22,72.94
2017-11-23,77.54
2017-11-24,88.79
2017-11-25,86.24
2017-11-26,90.99
2017-11-27,94.22
2017-11-28,85.41
2017-11-29,85.94
2017-11-30,99.15
2017-12-01,99.32
2017-12-02,100.7
2017-12-03,103.87
2017-12-04,100.49
2017-12-05,98.97
2017-12-06,96.0
2017-12-07,125.24
2017-12-08,155.98
2017-12-09,147.84
2017-12-10,214.54
2017-12-11,328.52
2017-12-12,305.27
2017-12-13,279.81
2017-12-14,300.27
2017-12-15,302.04
2017-12-16,319.57
2017-12-17,357.51
2017-12-18,346.87
2017-12-19,304.81
2017-12-20,307.69
2017-12-21,262.09
2017-12-22,284.11
2017-12-23,272.24
2017-12-24,268.21
2017-12-25,279.49
2017-12-26,264.07
2017-12-27,249.86
2017-12-28,243.13
2017-12-29,212.07
2017-12-30,226.52
2017-12-31,224.34
