timeDate,close
2017-05-14,90.32
2017-05-15,87.8
2017-05-16,86.98
2017-05-17,95.88
2017-05-18,124.38
2017-05-19,123.06
2017-05-20,148.0
2017-05-21,160.39
2017-05-22,169.5
2017-05-23,193.03
2017-05-24,177.33
2017-05-25,162.83
2017-05-26,156.63
2017-05-27,172.86
2017-05-28,194.17
2017-05-29,228.58
2017-05-30,228.64
2017-05-31,220.7
2017-06-01,222.04
2017-06-02,224.3
2017-06-03,244.96
2017-06-04,247.75
2017-06-05,264.26
2017-06-06,255.77
2017-06-07,259.41
2017-06-08,279.11
2017-06-09,335.95
2017-06-10,339.68
2017-06-11,394.66
2017-06-12,388.09
2017-06-13,343.84
2017-06-14,344.68
2017-06-15,353.61
2017-06-16,368.1
2017-06-17,351.53
2017-06-18,358.2
2017-06-19,350.53
2017-06-20,325.3
2017-06-21,320.97
2017-06-22,326.85
2017-06-23,304.54
2017-06-24,279.36
2017-06-25,253.68
2017-06-26,286.14
2017-06-27,315.86
2017-06-28,292.9
2017-06-29,280.68
2017-06-30,261.0
2017-07-01,283.99
2017-07-02,276.41
2017-07-03,269.05
2017-07-04,266.0
2017-07-05,265.88
2017-07-06,240.94
2017-07-07,245.67
2017-07-08,237.72
2017-07-09,205.76
2017-07-10,190.55
2017-07-11,224.15
2017-07-12,205.41
2017-07-13,197.14
2017-07-14,169.1
2017-07-15,155.42
2017-07-16,189.97
2017-07-17,227.09
2017-07-18,194.41
2017-07-19,226.33
2017-07-20,216.33
2017-07-21,230.47
2017-07-22,228.32
2017-07-23,225.48
2017-07-24,203.59
2017-07-25,202.88
2017-07-26,202.93
2017-07-27,191.21
2017-07-28,206.14
2017-07-29,196.78
2017-07-30,201.33
2017-07-31,225.9
2017-08-01,218.12
2017-08-02,224.39
2017-08-03,220.6
2017-08-04,253.09
2017-08-05,264.56
2017-08-06,269.94
2017-08-07,296.51
2017-08-08,295.28
2017-08-09,298.28
2017-08-10,309.32
2017-08-11,308.02
2017-08-12,296.62
2017-08-13,299.16
2017-08-14,286.52
2017-08-15,301.38
2017-08-16,300.3
2017-08-17,292.62
2017-08-18,293.02
2017-08-19,298.2
2017-08-20,321.85
2017-08-21,313.37
2017-08-22,317.4
2017-08-23,325.28
2017-08-24,330.06
2017-08-25,332.86
2017-08-26,347.88
2017-08-27,347.66
2017-08-28,372.35
2017-08-29,383.86
2017-08-30,388.33
2017-08-31,391.42
2017-09-01,351.03
2017-09-02,352.45
2017-09-03,303.7
2017-09-04,317.94
2017-09-05,338.92
2017-09-06,335.37
2017-09-07,306.72
2017-09-08,303.79
2017-09-09,299.21
2017-09-10,297.95
2017-09-11,294.1
2017-09-12,275.84
2017-09-13,223.14
2017-09-14,259.57
2017-09-15,254.49
2017-09-16,258.4
2017-09-17,297.53
2017-09-18,283.0
2017-09-19,283.56
2017-09-20,257.77
2017-09-21,262.94
2017-09-22,286.14
2017-09-23,282.6
2017-09-24,294.89
2017-09-25,288.64
2017-09-26,309.97
2017-09-27,302.77
2017-09-28,292.58
2017-09-29,302.77
2017-09-30,303.95
2017-10-01,296.81
2017-10-02,291.81
2017-10-03,291.68
2017-10-04,294.99
2017-10-05,308.33
2017-10-06,311.26
2017-10-07,309.49
2017-10-08,296.95
2017-10-09,298.46
2017-10-10,302.86
2017-10-11,302.89
2017-10-12,336.83
2017-10-13,338.81
2017-10-14,336.58
2017-10-15,334.23
2017-10-16,316.14
2017-10-17,313.54
2017-10-18,307.41
2017-10-19,303.08
2017-10-20,299.55
2017-10-21,294.03
2017-10-22,285.27
2017-10-23,296.5
2017-10-24,296.35
2017-10-25,295.54
2017-10-26,296.36
2017-10-27,293.35
2017-10-28,304.04
2017-10-29,306.8
2017-10-30,303.64
2017-10-31,289.42
2017-11-01,284.92
2017-11-02,304.51
2017-11-03,300.04
2017-11-04,296.23
2017-11-05,296.82
2017-11-06,291.84
2017-11-07,307.35
2017-11-08,319.66
2017-11-09,296.86
2017-11-10,314.23
2017-11-11,306.02
2017-11-12,314.6
2017-11-13,334.72
2017-11-14,331.2
2017-11-15,330.32
2017-11-16,331.72
2017-11-17,346.65
2017-11-18,354.6
2017-11-19,367.71
2017-11-20,360.52
2017-11-21,380.84
2017-11-22,406.57
2017-11-23,470.43
2017-11-24,464.61
2017-11-25,470.54
2017-11-26,475.24
2017-11-27,466.27
2017-11-28,427.42
2017-11-29,434.85
2017-11-30,461.58
2017-12-01,457.96
2017-12-02,462.81
2017-12-03,466.93
2017-12-04,453.96
2017-12-05,422.48
2017-12-06,421.15
2017-12-07,451.74
2017-12-08,472.86
2017-12-09,436.49
2017-12-10,513.29
2017-12-11,656.52
2017-12-12,699.09
2017-12-13,693.58
2017-12-14,684.27
2017-12-15,692.83
2017-12-16,717.71
2017-12-17,785.99
2017-12-18,812.5
2017-12-19,799.17
2017-12-20,789.39
2017-12-21,657.83
2017-12-22,700.44
2017-12-23,675.91
2017-12-24,723.14
2017-12-25,753.4
2017-12-26,739.94
2017-12-27,716.69
2017-12-28,739.6
2017-12-29,692.99
2017-12-30,741.13
2017-12-31,756.2
